Start time: 1731108783993
[2024-11-08T18:33:05.029349-0500] nuttcp-r: v8.1.4: socket
[2024-11-08T18:33:05.030459-0500] nuttcp-r: buflen=65536, nstream=1, port=5379 tcp
[2024-11-08T18:33:05.030525-0500] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-08T18:33:05.030565-0500] nuttcp-r: connect to 54.197.223.49 with RTT=71.724 ms af=inet
[2024-11-08T18:33:05.030606-0500] nuttcp-r: send window size = 2097152, receive window size = 6291456
[2024-11-08T18:33:05.030643-0500] nuttcp-r: available send window = 1572864, available receive window = 4718592
[2024-11-08T18:33:57.529241-0500]    11.5000 MB /   0.50 sec =  192.9264 Mbps     0 retrans   7462 KB-cwnd
[2024-11-08T18:33:58.029207-0500]    12.7500 MB /   0.50 sec =  213.9074 Mbps    10 retrans   6348 KB-cwnd
[2024-11-08T18:33:58.529198-0500]    13.9375 MB /   0.50 sec =  233.8339 Mbps     0 retrans   6348 KB-cwnd
[2024-11-08T18:33:59.029183-0500]    17.8125 MB /   0.50 sec =  298.8436 Mbps     0 retrans   6348 KB-cwnd
[2024-11-08T18:33:59.529595-0500]    21.9375 MB /   0.50 sec =  368.0737 Mbps     0 retrans   6348 KB-cwnd
[2024-11-08T18:34:00.029270-0500]    23.4375 MB /   0.50 sec =  393.1437 Mbps    15 retrans   3178 KB-cwnd
[2024-11-08T18:34:00.529431-0500]    24.5625 MB /   0.50 sec =  412.1423 Mbps     0 retrans   3178 KB-cwnd
[2024-11-08T18:34:01.029214-0500]    26.4375 MB /   0.50 sec =  443.5414 Mbps     0 retrans   3178 KB-cwnd
[2024-11-08T18:34:01.529248-0500]    29.1875 MB /   0.50 sec =  489.6723 Mbps     4 retrans   3311 KB-cwnd
[2024-11-08T18:34:02.029201-0500]    28.0000 MB /   0.50 sec =  469.7827 Mbps     0 retrans   3311 KB-cwnd
[2024-11-08T18:34:02.529322-0500]    29.0625 MB /   0.50 sec =  487.5820 Mbps     0 retrans   6463 KB-cwnd
[2024-11-08T18:34:03.029229-0500]    30.6250 MB /   0.50 sec =  513.7940 Mbps     0 retrans   6463 KB-cwnd
[2024-11-08T18:34:03.529846-0500]    18.3125 MB /   0.50 sec =  307.0240 Mbps     0 retrans   6463 KB-cwnd
[2024-11-08T18:34:04.030617-0500]    26.8750 MB /   0.50 sec =  449.9635 Mbps     0 retrans   8343 KB-cwnd
[2024-11-08T18:34:04.529200-0500]    18.5625 MB /   0.50 sec =  312.2921 Mbps     0 retrans   8343 KB-cwnd
[2024-11-08T18:34:05.029215-0500]    16.6875 MB /   0.50 sec =  279.9614 Mbps     0 retrans   8343 KB-cwnd
[2024-11-08T18:34:05.529374-0500]    19.3750 MB /   0.50 sec =  325.0833 Mbps     0 retrans   8343 KB-cwnd
[2024-11-08T18:34:06.029599-0500]    22.0625 MB /   0.50 sec =  369.8315 Mbps     1 retrans   8040 KB-cwnd
[2024-11-08T18:34:06.529295-0500]    18.4375 MB /   0.50 sec =  309.5324 Mbps     0 retrans   8040 KB-cwnd
[2024-11-08T18:34:07.029197-0500]    16.7500 MB /   0.50 sec =  281.0549 Mbps     0 retrans   8040 KB-cwnd
[2024-11-08T18:34:07.529213-0500]    13.9375 MB /   0.50 sec =  233.8287 Mbps     0 retrans   8040 KB-cwnd
[2024-11-08T18:34:08.030595-0500]    11.1250 MB /   0.50 sec =  186.2881 Mbps     2 retrans   8397 KB-cwnd
[2024-11-08T18:34:08.529363-0500]    17.9375 MB /   0.50 sec =  301.5311 Mbps     0 retrans   8397 KB-cwnd
[2024-11-08T18:34:09.029202-0500]    12.8750 MB /   0.50 sec =  216.0058 Mbps     0 retrans   8397 KB-cwnd
[2024-11-08T18:34:09.529239-0500]     6.6250 MB /   0.50 sec =  111.1466 Mbps     0 retrans   8397 KB-cwnd
[2024-11-08T18:34:10.029115-0500]    12.1250 MB /   0.50 sec =  203.4380 Mbps     0 retrans   8397 KB-cwnd
[2024-11-08T18:34:10.530860-0500]     4.0000 MB /   0.50 sec =   66.8971 Mbps     0 retrans   8397 KB-cwnd
[2024-11-08T18:34:11.030418-0500]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans   8397 KB-cwnd
[2024-11-08T18:34:11.529397-0500]     2.5625 MB /   0.50 sec =   43.0770 Mbps     0 retrans   8397 KB-cwnd
[2024-11-08T18:34:12.029199-0500]    18.8125 MB /   0.50 sec =  315.7300 Mbps     4 retrans   5693 KB-cwnd
[2024-11-08T18:34:12.529345-0500]    15.5625 MB /   0.50 sec =  261.0975 Mbps     0 retrans   5693 KB-cwnd
[2024-11-08T18:34:13.029401-0500]    10.1250 MB /   0.50 sec =  169.8153 Mbps     0 retrans   5613 KB-cwnd
[2024-11-08T18:34:13.530311-0500]    18.7500 MB /   0.50 sec =  313.9988 Mbps     0 retrans   5613 KB-cwnd
[2024-11-08T18:34:14.029188-0500]    18.4375 MB /   0.50 sec =  309.9958 Mbps     0 retrans   5613 KB-cwnd
[2024-11-08T18:34:14.529169-0500]    20.5625 MB /   0.50 sec =  344.9760 Mbps     6 retrans   4664 KB-cwnd
[2024-11-08T18:34:15.029261-0500]    20.8125 MB /   0.50 sec =  349.1793 Mbps     0 retrans   4664 KB-cwnd
[2024-11-08T18:34:15.529390-0500]    27.5000 MB /   0.50 sec =  461.1466 Mbps     0 retrans   4664 KB-cwnd
[2024-11-08T18:34:16.029668-0500]    30.6250 MB /   0.50 sec =  513.5927 Mbps  2583 retrans   7267 KB-cwnd
[2024-11-08T18:34:16.529279-0500]    27.7500 MB /   0.50 sec =  465.9414 Mbps     0 retrans   7267 KB-cwnd
[2024-11-08T18:34:17.029178-0500]    31.4375 MB /   0.50 sec =  527.4812 Mbps     5 retrans   6260 KB-cwnd
