Start time: 1731006709548
[2024-11-07T14:11:50.418083-0500] nuttcp-r: v8.1.4: socket
[2024-11-07T14:11:50.418801-0500] nuttcp-r: buflen=65536, nstream=1, port=5101 tcp
[2024-11-07T14:11:50.418880-0500] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-07T14:11:50.418946-0500] nuttcp-r: connect to 54.197.223.49 with RTT=49.201 ms af=inet
[2024-11-07T14:11:50.419009-0500] nuttcp-r: send window size = 2097152, receive window size = 6291456
[2024-11-07T14:11:50.419069-0500] nuttcp-r: available send window = 1572864, available receive window = 4718592
[2024-11-07T14:12:24.417960-0500]    12.3750 MB /   0.50 sec =  207.6604 Mbps     0 retrans   8027 KB-cwnd
[2024-11-07T14:12:24.917993-0500]    10.8125 MB /   0.50 sec =  181.4000 Mbps     0 retrans   8027 KB-cwnd
[2024-11-07T14:12:25.432993-0500]    11.7500 MB /   0.51 sec =  191.6246 Mbps     0 retrans   2588 KB-cwnd
[2024-11-07T14:12:25.917989-0500]    12.3750 MB /   0.49 sec =  213.7541 Mbps     0 retrans   2588 KB-cwnd
[2024-11-07T14:12:26.418003-0500]    14.2500 MB /   0.50 sec =  239.0792 Mbps     0 retrans   2588 KB-cwnd
[2024-11-07T14:12:26.918000-0500]    14.2500 MB /   0.50 sec =  239.0768 Mbps     0 retrans   2588 KB-cwnd
[2024-11-07T14:12:27.417971-0500]    11.3125 MB /   0.50 sec =  189.7972 Mbps     0 retrans   2588 KB-cwnd
[2024-11-07T14:12:27.917996-0500]     9.0000 MB /   0.50 sec =  150.9919 Mbps     0 retrans   2588 KB-cwnd
[2024-11-07T14:12:28.417980-0500]     8.8750 MB /   0.50 sec =  148.9023 Mbps     5 retrans   2620 KB-cwnd
[2024-11-07T14:12:28.917963-0500]     8.2500 MB /   0.50 sec =  138.4123 Mbps     0 retrans   2620 KB-cwnd
[2024-11-07T14:12:29.418071-0500]     4.1875 MB /   0.50 sec =   70.2417 Mbps     0 retrans   2620 KB-cwnd
[2024-11-07T14:12:29.918097-0500]     7.6875 MB /   0.50 sec =  129.0061 Mbps     0 retrans   2639 KB-cwnd
[2024-11-07T14:12:30.418046-0500]     9.0000 MB /   0.50 sec =  150.9648 Mbps     0 retrans   2639 KB-cwnd
[2024-11-07T14:12:30.918093-0500]     9.5625 MB /   0.50 sec =  160.4241 Mbps     0 retrans   2657 KB-cwnd
[2024-11-07T14:12:31.418019-0500]     6.0625 MB /   0.50 sec =  101.7294 Mbps     0 retrans   2657 KB-cwnd
[2024-11-07T14:12:31.917951-0500]     7.3125 MB /   0.50 sec =  122.6866 Mbps     0 retrans   2657 KB-cwnd
[2024-11-07T14:12:32.417968-0500]     9.8750 MB /   0.50 sec =  165.6750 Mbps     0 retrans   2657 KB-cwnd
[2024-11-07T14:12:32.918015-0500]    10.0625 MB /   0.50 sec =  168.8167 Mbps     0 retrans   2510 KB-cwnd
[2024-11-07T14:12:33.417967-0500]    11.2500 MB /   0.50 sec =  188.7471 Mbps     0 retrans   2510 KB-cwnd
[2024-11-07T14:12:33.918011-0500]     8.9375 MB /   0.50 sec =  149.9404 Mbps     0 retrans   2510 KB-cwnd
[2024-11-07T14:12:34.418023-0500]    10.1875 MB /   0.50 sec =  170.9165 Mbps     0 retrans   2510 KB-cwnd
[2024-11-07T14:12:34.918199-0500]    11.6250 MB /   0.50 sec =  195.0086 Mbps     0 retrans   2510 KB-cwnd
[2024-11-07T14:12:35.418421-0500]    11.1250 MB /   0.50 sec =  186.5790 Mbps     0 retrans   2510 KB-cwnd
[2024-11-07T14:12:35.918396-0500]    13.3750 MB /   0.50 sec =  224.3333 Mbps     0 retrans   2437 KB-cwnd
