Start time: 1730994251310
[2024-11-07T10:44:35.286] - client - INFO - 46 bytes from 54.197.223.49: time=77.10 ms
[2024-11-07T10:44:35.547] - client - INFO - 46 bytes from 54.197.223.49: time=60.63 ms
[2024-11-07T10:44:35.824] - client - INFO - 46 bytes from 54.197.223.49: time=75.69 ms
[2024-11-07T10:44:36.074] - client - INFO - 46 bytes from 54.197.223.49: time=48.66 ms
[2024-11-07T10:44:36.329] - client - INFO - 46 bytes from 54.197.223.49: time=53.29 ms
[2024-11-07T10:44:36.576] - client - INFO - 46 bytes from 54.197.223.49: time=45.86 ms
[2024-11-07T10:44:36.825] - client - INFO - 46 bytes from 54.197.223.49: time=48.60 ms
[2024-11-07T10:44:37.076] - client - INFO - 46 bytes from 54.197.223.49: time=49.40 ms
[2024-11-07T10:44:37.343] - client - INFO - 46 bytes from 54.197.223.49: time=64.53 ms
[2024-11-07T10:44:37.666] - client - INFO - 46 bytes from 54.197.223.49: time=121.85 ms
[2024-11-07T10:44:37.913] - client - INFO - 46 bytes from 54.197.223.49: time=44.78 ms
[2024-11-07T10:44:38.164] - client - INFO - 46 bytes from 54.197.223.49: time=50.29 ms
[2024-11-07T10:44:38.415] - client - INFO - 46 bytes from 54.197.223.49: time=49.02 ms
[2024-11-07T10:44:38.665] - client - INFO - 46 bytes from 54.197.223.49: time=49.03 ms
[2024-11-07T10:44:38.916] - client - INFO - 46 bytes from 54.197.223.49: time=48.61 ms
[2024-11-07T10:44:39.159] - client - INFO - 46 bytes from 54.197.223.49: time=42.43 ms
[2024-11-07T10:44:39.407] - client - INFO - 46 bytes from 54.197.223.49: time=47.39 ms
[2024-11-07T10:44:39.693] - client - INFO - 46 bytes from 54.197.223.49: time=83.53 ms
[2024-11-07T10:44:39.945] - client - INFO - 46 bytes from 54.197.223.49: time=51.00 ms
[2024-11-07T10:44:40.197] - client - INFO - 46 bytes from 54.197.223.49: time=50.96 ms
[2024-11-07T10:44:40.464] - client - INFO - 46 bytes from 54.197.223.49: time=66.51 ms
[2024-11-07T10:44:40.715] - client - INFO - 46 bytes from 54.197.223.49: time=49.23 ms
[2024-11-07T10:44:40.964] - client - INFO - 46 bytes from 54.197.223.49: time=48.20 ms
[2024-11-07T10:44:41.217] - client - INFO - 46 bytes from 54.197.223.49: time=51.18 ms
[2024-11-07T10:44:41.467] - client - INFO - 46 bytes from 54.197.223.49: time=49.22 ms
[2024-11-07T10:44:41.716] - client - INFO - 46 bytes from 54.197.223.49: time=47.65 ms
[2024-11-07T10:44:42.029] - client - INFO - 46 bytes from 54.197.223.49: time=111.02 ms
[2024-11-07T10:44:42.349] - client - INFO - 46 bytes from 54.197.223.49: time=117.58 ms
End time: 1730994282469
